id,collected_at,title,url,description,source_name,published_at,used_in
202605130714213950,2026-05-13T07:14:21,"Musk mulled handing OpenAI to his children, Altman testifies",https://techcrunch.com/2026/05/12/musk-mulled-handing-openai-to-his-children-altman-testifies/,"OpenAI's CEO recalls a ""particularly hair-raising"" conversation with the SpaceX founder.",TechCrunch,2026-05-12T18:05:15Z,
202605130714213147,2026-05-13T07:14:21,"Commerce Department Quietly Removes Microsoft, Google, xAI Security Test Details From Its Website",https://www.benzinga.com/markets/private-markets/26/05/52500525/commerce-department-quietly-removes-microsoft-google-xai-security-test-details-from-its-website,"The U.S. Commerce Department webpage erased details regarding a deal with Google, xAI, and Microsoft to examine AI models for cybersecurity.",Benzinga,2026-05-12T18:02:02Z,
202605130714213844,2026-05-13T07:14:21,"OpenAI chief Altman says Elon Musk wanted control of ChatGPT maker, denies betrayal",https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-chief-altman-says-elon-musk-wanted-control-of-chatgpt-maker-denies-betrayal/articleshow/131047016.cms,OpenAI CEO Sam Altman denied Elon Musk's accusations of betraying the company's founding mission. Altman testified that Musk pursued control and financial gain from OpenAI. The ongoing trial could shape OpenAI's future and its potential trillion-dollar valuation. Musk is seeking substantial damages and the removal of Altman and Greg Brockman from their roles.,The Economic Times,2026-05-12T18:01:52Z,
202605130714213967,2026-05-13T07:14:21,"EXCLUSIVE: SpaceX, OpenAI, Anthropic IPOs Could 'Suck Air' From Crypto Market, Says Anchorage Digital's L",https://www.benzinga.com/markets/private-markets/26/05/52500071/exclusive-spacex-openai-anthropic-ipos-could-suck-air-from-crypto-market-says-anchorage-digitals-lawant,"Anchorage Digital's head of research, David Lawant, believes the cryptocurrency market will continue to perform well this year; however, the three pending IPO's from SpaceX, OpenAI, and Anthropic will likely have some impact on the crypto market given the size of their collective valuations.",Benzinga,2026-05-12T17:50:22Z,
202605130714212042,2026-05-13T07:14:21,"Nvidia, AMD, Intel plunge up to 14% as hot US inflation data dents AI rally sentiment",https://www.livemint.com/market/stock-market-news/nvidia-amd-intel-plunge-up-to-14-as-hot-us-inflation-data-dents-ai-rally-sentiment-11778606568018.html,"The Nasdaq-100 fell 2.3% amid a tech stock sell-off, despite a 16% April surge. Inflation concerns and geopolitical tensions affected investor sentiment, particularly in chip stocks like Qualcomm and Intel. The Fed may consider a rate hike as inflation rises due to the Iran conflict.",Livemint,2026-05-12T17:37:21Z,
202605130714214883,2026-05-13T07:14:21,"OpenAI Hit With Suit Alleging ChatGPT Culpability in Overdose, Bloomberg Reports",https://www.marketscreener.com/news/openai-hit-with-suit-alleging-chatgpt-culpability-in-overdose-bloomberg-reports-ce7f5bded181ff22,"Price: 409.40, Change: -3.26, Percent Change: -0.79
...",MarketScreener,2026-05-12T17:30:01Z,
202605130714219179,2026-05-13T07:14:21,Sam Altman rejects Elon Musk’s ‘stealing a charity’ claim in explosive OpenAI trial,https://www.livemint.com/news/us-news/sam-altman-rejects-elon-musk-s-stealing-a-charity-claim-in-explosive-openai-trial-11778605522554.html,"Musk sued OpenAI and its leadership in August 2024, alleging that Altman and OpenAI President Greg Brockman convinced him to contribute $38 million to a nonprofit AI initiative meant to benefit humanity, only for the organisation to later pursue a profit-driven model.",Livemint,2026-05-12T17:15:00Z,
202605130714213122,2026-05-13T07:14:21,Nvidia CEO Huang doesn’t need Trump to visit China - analyst,https://seekingalpha.com/news/4591402-nvidia-ceo-huang-doesnt-need-trump-to-visit-china---analyst,Nvidia CEO Jensen Huang skipping Trump’s China trip isn’t a red flag—analyst says U.S.-China AI chip rivalry limits sales.,Seeking Alpha,2026-05-12T17:00:33Z,
202605130714211181,2026-05-13T07:14:21,"Oracle Set to Post Strong Results Amid Tech Infrastructure Spending, Oppenheimer Says",https://www.marketscreener.com/news/oracle-set-to-post-strong-results-amid-tech-infrastructure-spending-oppenheimer-says-ce7f5bded18cf621,"Oracle's fiscal fourth-quarter results are likely to benefit from robust spending on technology infrastructure, Oppenheimer said in a note emailed Tuesday.
The cloud computing company is scheduled...",MarketScreener,2026-05-12T16:57:21Z,
202605130714217970,2026-05-13T07:14:21,Boomi and ServiceNow join forces to supercharge enterprise AI,https://itwire.com/business-it-news/data/boomi-and-servicenow-join-forces-to-supercharge-enterprise-ai,"Boomi and ServiceNow have expanded their partnership to tackle one of the biggest hurdles in modern business, namely fragmented data. The companies made the announcement at...",iTWire,2026-05-12T16:49:42Z,
